Date,Time,timestamp,Hour,Usage(kWh),MaxDemand(kW)
2024-03-25,0:00,2024-03-25 0:00,0,69.84,279.36
2024-03-25,0:15,2024-03-25 0:15,0.25,69.96,279.84
2024-03-25,0:30,2024-03-25 0:30,0.5,70.56,282.24
2024-03-25,0:45,2024-03-25 0:45,0.75,69.96,279.84
2024-03-25,1:00,2024-03-25 1:00,1,72,288
2024-03-25,1:15,2024-03-25 1:15,1.25,70.68,282.72
2024-03-25,1:30,2024-03-25 1:30,1.5,70.44,281.76
2024-03-25,1:45,2024-03-25 1:45,1.75,69.84,279.36
2024-03-25,2:00,2024-03-25 2:00,2,70.08,280.32
2024-03-25,2:15,2024-03-25 2:15,2.25,69.36,277.44
2024-03-25,2:30,2024-03-25 2:30,2.5,69.12,276.48
2024-03-25,2:45,2024-03-25 2:45,2.75,70.92,283.68
2024-03-25,3:00,2024-03-25 3:00,3,69.48,277.92
2024-03-25,3:15,2024-03-25 3:15,3.25,71.64,286.56
2024-03-25,3:30,2024-03-25 3:30,3.5,72.84,291.36
2024-03-25,3:45,2024-03-25 3:45,3.75,79.8,319.2
2024-03-25,4:00,2024-03-25 4:00,4,74.16,296.64
2024-03-25,4:15,2024-03-25 4:15,4.25,74.4,297.6
2024-03-25,4:30,2024-03-25 4:30,4.5,87,348
2024-03-25,4:45,2024-03-25 4:45,4.75,92.4,369.6
2024-03-25,5:00,2024-03-25 5:00,5,90,360
2024-03-25,5:15,2024-03-25 5:15,5.25,94.68,378.72
2024-03-25,5:30,2024-03-25 5:30,5.5,94.8,379.2
2024-03-25,5:45,2024-03-25 5:45,5.75,101.88,407.52
2024-03-25,6:00,2024-03-25 6:00,6,99.24,396.96
2024-03-25,6:15,2024-03-25 6:15,6.25,102.12,408.48
2024-03-25,6:30,2024-03-25 6:30,6.5,105.12,420.48
2024-03-25,6:45,2024-03-25 6:45,6.75,119.88,479.52
2024-03-25,7:00,2024-03-25 7:00,7,120,480
2024-03-25,7:15,2024-03-25 7:15,7.25,119.04,476.16
2024-03-25,7:30,2024-03-25 7:30,7.5,130.8,523.2
2024-03-25,7:45,2024-03-25 7:45,7.75,138.6,554.4
2024-03-25,8:00,2024-03-25 8:00,8,147.24,588.96
2024-03-25,8:15,2024-03-25 8:15,8.25,156.6,626.4
2024-03-25,8:30,2024-03-25 8:30,8.5,166.2,664.8
2024-03-25,8:45,2024-03-25 8:45,8.75,160.2,640.8
